"exetainer_ID","ch4_ppm","ch4_retention_time","ch4_peak_area","ch4_peak_height","co2_ppm","co2_retention_time","co2_peak_area","co2_peak_height","machineID","gc_date","gc_time"
"KLH 1204",153.557544359474,2.47,983.3144,183.551,2700.75802976828,3.436,12323.5662,1520.762,1602,"7/1/2018",18:26:22
"KLH 1224",113.886026989214,2.47,729.2756,136.283,4180.05851102258,3.436,19073.6183,2335.82,1603,"7/1/2018",18:30:47
"KLH 1061",2.26102481745725,2.47,14.4786,2.758,539.30978309119,3.44,2460.872,304.04,1604,"7/1/2018",18:35:13
"KLH 1102",2.23778773011195,2.466,14.3298,2.72,601.015181509208,3.436,2742.4339,339.822,1605,"7/1/2018",18:39:38
"KLH 1289",290.751244470062,2.47,1861.842,348.738,6495.23357863023,3.43,29637.7684,3580.238,1606,"7/1/2018",18:44:04
"KLH 1159",1676.93624995431,2.463,10738.3559,2003.298,5455.49685153517,3.443,24893.4469,4978.026,1607,"7/1/2018",18:50:26
"KLH 1143",3201.015097736,2.463,20497.8808,3812.572,5492.25979269086,3.446,25061.1963,4959.286,1608,"7/1/2018",18:54:56
"KLH 1145",266.451060378716,2.47,1706.2344,318.846,5734.00492652083,3.433,26164.28,3161.79,1609,"7/1/2018",18:59:52
"KLH 1036",2396.37288691932,2.466,15345.309,2857.728,6980.28672066443,3.43,31851.0672,3850.47,1610,"7/1/2018",19:04:13
"KLH 1280",475.711213765165,2.47,3046.2436,570.331,3642.2135309196,3.433,16619.4302,2049.538,1611,"7/1/2018",19:08:34
"KLH 1288",218.846888618021,2.466,1401.3984,262.236,6567.14431835377,3.43,29965.8973,3602.005,1612,"7/1/2018",19:14:38
"KLH 1153",346.735618797421,2.466,2220.3411,415.032,5819.5476327362,3.426,26554.6116,3204.928,1613,"7/1/2018",19:20:31
